Batch,Global_Rank,Guild_ID,Name,Level,Grade,Grade_Score,Total_Relic_Cores,Total_Attack,Member_Count,Extraction_Time
1,123,15081,ChaoticAF,16,Legend 3,1180 +30,3990+,41.01M,40/40,2025-12-12 01:10:05
1,163,23429,SaltyStrays,16,Legend 3,1160 +15,3525+,41.89M,39/40,2025-12-12 01:10:05
1,219,242039,WarMasterSᵗʳᵃʸ,16,Legend 3,1145 +15,3410+,37.87M,37/40,2025-12-12 01:10:05
1,258,24273,StrayLegends,16,Legend 3,1130 -10,3580+,39.38M,36/40,2025-12-12 01:10:05
2,341,42679,DOGEˢᵗʳᵃʸ,16,Legend 3,1110 -10,2685+,30.66M,39/40,2025-12-12 01:10:30
2,363,44262,Freedomˢᵗʳᵃʸ,16,Legend 3,1105 +5,2645+,29.52M,40/40,2025-12-12 01:10:30
2,457,73710,家TropicThunder族,16,Legend 2,1085 +30,3315+,35.14M,39/40,2025-12-12 01:10:30
2,627,16530,Stray.io,16,Legend 2,1055 +5,2150+,25.37M,38/40,2025-12-12 01:10:30
3,525,26103,StrayStorm,16,Legend 2,1070 +30,2725+,35.02M,40/40,2025-12-12 01:10:55
3,590,306726,Stray Bunnies,16,Legend 2,1065 +30,2550+,28.58M,39/40,2025-12-12 01:10:55
3,665,19135,Stray-v445,16,Legend 2,1050 +5,2020+,24.59M,38/40,2025-12-12 01:10:55
3,673,36454,ChaoticAF.,16,Legend 2,1050 +15,1975+,25.20M,36/40,2025-12-12 01:10:55
4,974,15883,⚚StrayChaos⚚,16,Legend 2,1015 +30,1930+,24.83M,38/40,2025-12-12 01:11:21
